imageName,sessionTitle,speakerName,startTimeHours,startTimeMinutes,duration,startHoursMilitary
RegisterIcon,Registration & Check-In,test,9,15,1 hour,13
QuranIcon,Quran Recitation,Opening Remarks,10,32,15 Minutes,10
masmari2,Setting Intentions,Mohamed Almasmari,10,34,5 Minutes,10
Mufti_Abdul_Rahman,In God We Trust,Abdul Rahman Waheed,10,5,20 Minutes,10
yaserFahmy,Protect Your Deeds,Yasir Fahmy,10,6,20 Minutes,10
muftiKamani,Pursuit of Happiness,Hussein Kamani,11,44,20 Minutes,11
MohammedAbutaleb,Shattering Doubts,Mohamed Abutaleb,11,34,20 Minutes,11
breakPic,Break Time,It is coffee time! ,11,75,20 Minutes,11
suzyIsmail,Happiness in the Home,Suzy Ismail,12,22,20 Minutes,12
AltafHusain,Building Inclusive Communities,Altaf Hussein,12,11,20 Minutes,13
breakPic,Empty,Empty,12,6,10 Minutes,12
muftiKamani,Who will you follow?,Hussein Kamani,12,4,20 Minutes,12
yaserFahmy,Our Ummah is One,Yasir Fahmy,1,33,20 Minutes,13
LunchTime,Duhr Prayer & Lunch Break,Let's grab something to eat,1,21,1 hr 30 Mins,13
breakPic,Empty,Empty,3,12,10 Minutes,15
MajedMahmoud,Crossing the sirat: how much light will you have?,Majed Mahmoud,3,34,20 Minutes,15
AltafHusain,Mending Ties of Kinship,Altaf Hussein,3,56,20 Minutes,15
Waleed,Fufilling the Trusts,Waleed Basyouni,3,78,20 Minutes,15
Sameera,Dealing with Addictions,Sameera Ahmed,4,0,15 Minutes,16
Prayer,Asr Prayer,Empty,4,54,30 Minutes,16
IsraChaker,Taking Action in Time of Despair,Israa Chaker,5,33,20 Minutes,17
Hassan,Know Your Rights,Hassan Shibli,5,56,20 Minutes,17
Ieasha-Prime,American Muslim Identity,Iesha Prime,5,33,20 Minutes,17
FarhazAbuAzeez,What's the wird?,Farhan Abdul Aziz,6,55,30 Minutes,19
Entertainment,Entertainment ,"Mesut Kurtis, Preacher Moss, Siedd",6,45,30 Minutes,19
